"id";"name";"gender";"orientation"
998;"Zofia";"female";"straight"
989;"Wenona";"female";"straight"
963;"Tomiko";"female";"straight"
947;"Tarah";"female";"straight"
943;"Takako";"female";"straight"
931;"Stephenie";"female";"straight"
930;"Stephanie";"female";"straight"
922;"Shila";"female";"straight"
911;"Shelia";"female";"straight"
910;"Shawanna";"female";"straight"
898;"Sarai";"female";"straight"
874;"Rachele";"female";"straight"
872;"Rachael";"female";"straight"
871;"Pura";"female";"straight"
861;"Olympia";"female";"straight"
858;"Noella";"female";"straight"
856;"Nilsa";"female";"straight"
850;"Nathalie";"female";"straight"
849;"Natasha";"female";"straight"
843;"Myrle";"female";"straight"
836;"Minta";"female";"straight"
803;"Manda";"female";"straight"
785;"Lucile";"female";"straight"
769;"Ligia";"female";"straight"
759;"Lavenia";"female";"straight"
751;"Lanie";"female";"straight"
746;"Laci";"female";"straight"
745;"Kyra";"female";"straight"
733;"Kellie";"female";"straight"
704;"Joannie";"female";"straight"
688;"Jazmin";"female";"straight"
675;"Hilaria";"female";"straight"
662;"Griselda";"female";"straight"
656;"Gaynelle";"female";"straight"
653;"Fredda";"female";"gay"
651;"Fatima";"female";"straight"
635;"Ellan";"female";"straight"
632;"Elinor";"female";"gay"
617;"Dorinda";"female";"straight"
603;"Denise";"female";"straight"
596;"Deadra";"female";"straight"
590;"Dannielle";"female";"straight"
579;"Cleta";"female";"straight"
575;"Christy";"female";"straight"
573;"Chrissy";"female";"straight"
567;"Chanel";"female";"straight"
561;"Carrie";"female";"straight"
540;"Ava";"female";"gay"
538;"Audrea";"female";"straight"
537;"Astrid";"female";"straight"
528;"Annalisa";"female";"straight"
527;"Annabel";"female";"straight"
517;"Alverta";"female";"straight"
515;"Alisa";"female";"straight"
496;"Young";"male";"straight"
489;"Wiley";"male";"gay"
486;"Wesley";"male";"straight"
484;"Wayne";"male";"straight"
461;"Travis";"male";"straight"
443;"Stephen";"male";"straight"
431;"Shawn";"male";"straight"
419;"Ryan";"male";"straight"
408;"Rosario";"male";"straight"
360;"Oswaldo";"male";"straight"
358;"Orville";"male";"straight"
351;"Noble";"male";"straight"
348;"Nicholas";"male";"straight"
339;"Morgan";"male";"straight"
326;"Melvin";"male";"straight"
318;"Marlin";"male";"straight"
314;"Mariano";"male";"straight"
309;"Marcel";"male";"straight"
304;"Mac";"male";"straight"
296;"Louis";"male";"straight"
282;"Leon";"male";"straight"
266;"Kenneth";"male";"straight"
258;"Joshua";"male";"straight"
250;"Joe";"male";"straight"
227;"Jack";"male";"gay"
196;"Harland";"male";"straight"
190;"Gregorio";"male";"straight"
182;"Gilberto";"male";"straight"
173;"Garret";"male";"straight"
148;"Emery";"male";"straight"
140;"Edmundo";"male";"straight"
137;"Edgardo";"male";"straight"
132;"Duncan";"male";"straight"
125;"Donnie";"male";"straight"
111;"David";"male";"straight"
92;"Columbus";"male";"straight"
50;"Brant";"male";"straight"
30;"Austin";"male";"straight"
27;"Arthur";"male";"straight"
25;"Arnulfo";"male";"straight"
6;"Ahmed";"male";"straight"
999;"Zola";"female";"straight"
993;"Xuan";"female";"straight"
992;"Wilma";"female";"straight"
966;"Torri";"female";"straight"
962;"Tobie";"female";"straight"
950;"Tawana";"female";"straight"
948;"Tarsha";"female";"straight"
936;"Susanna";"female";"straight"
